Id,SalePrice
1461,122859.96
1462,152393.36
1463,176324.77
1464,181994.86
1465,196658.16
1466,184916.0
1467,167860.33
1468,176152.84
1469,178073.25
1470,122232.78
1471,191602.56
1472,97137.03
1473,100233.93
1474,151519.28
1475,123295.22
1476,365999.78
1477,259800.16
1478,305341.2
1479,308186.16
1480,448114.2
1481,312961.56
1482,213890.14
1483,179442.81
1484,173555.22
1485,172845.52
1486,200650.66
1487,326095.38
1488,246807.55
1489,201775.7
1490,209561.22
1491,193279.02
1492,105932.47
1493,168285.55
1494,304625.06
1495,297977.0
1496,233489.17
1497,190921.97
1498,155970.44
1499,156003.98
1500,164322.84
1501,174365.8
1502,161339.05
1503,272667.75
1504,234123.92
1505,223306.06
1506,188224.14
1507,231359.97
1508,197358.45
1509,167449.14
1510,151734.62
1511,148085.64
1512,166387.62
1513,145978.98
1514,151178.08
1515,184850.05
1516,150955.34
1517,148438.3
1518,135173.73
1519,214143.56
1520,141669.6
1521,144838.84
1522,159435.84
1523,121413.59
1524,121322.664
1525,129802.086
1526,128827.91
1527,109864.33
1528,128074.92
1529,141893.22
1530,160924.88
1531,126210.56
1532,112068.61
1533,139487.25
1534,117334.73
1535,142409.81
1536,119363.27
1537,86504.26
1538,167845.84
1539,215010.05
1540,120869.62
1541,141453.39
1542,141453.12
1543,174596.9
1544,90054.766
1545,105667.23
1546,119350.58
1547,136564.48
1548,133608.61
1549,108754.234
1550,140227.03
1551,119392.695
1552,137502.72
1553,142268.88
1554,110110.24
1555,174782.67
1556,121695.164
1557,128447.55
1558,95517.31
1559,124627.78
1560,147222.06
1561,143016.25
1562,124242.93
1563,120343.625
1564,157008.92
1565,154301.45
1566,232615.69
1567,88935.12
1568,218543.08
1569,140362.08
1570,126704.91
1571,125807.664
1572,135464.25
1573,213917.83
1574,127412.58
1575,207290.62
1576,216819.95
1577,195060.83
1578,149864.61
1579,144818.8
1580,189215.86
1581,143784.22
1582,126227.06
1583,316741.22
1584,233611.03
1585,142644.17
1586,80010.58
1587,101864.38
1588,140665.03
1589,99285.875
1590,130096.58
1591,108295.04
1592,127662.875
1593,113979.586
1594,138280.1
1595,129921.125
1596,225932.56
1597,181864.58
1598,191203.97
1599,180616.4
1600,179304.92
1601,84013.05
1602,109643.195
1603,98290.99
1604,293721.78
1605,245147.02
1606,168223.52
1607,169323.83
1608,205867.12
1609,185419.86
1610,162281.66
1611,151308.44
1612,170285.77
1613,166685.66
1614,120316.2
1615,86651.57
1616,82047.086
1617,88763.375
1618,124855.44
1619,130533.586
1620,173378.12
1621,142313.08
1622,148329.4
1623,262189.72
1624,205737.6
1625,123432.64
1626,168002.5
1627,184087.17
1628,269693.7
1629,175346.67
1630,367332.16
1631,210630.1
1632,258611.78
1633,171315.4
1634,183979.7
1635,179221.84
1636,159720.25
1637,183553.48
1638,204997.45
1639,186529.95
1640,237461.06
1641,184881.94
1642,227178.92
1643,230600.34
1644,227274.6
1645,185221.0
1646,160893.34
1647,165185.12
1648,139355.88
1649,137766.42
1650,122773.7
1651,122120.89
1652,95728.7
1653,100257.32
1654,151156.2
1655,146818.67
1656,148060.36
1657,150423.47
1658,155001.98
1659,127754.016
1660,150225.58
1661,432447.22
1662,366941.22
1663,364881.12
1664,463127.03
1665,319758.0
1666,357441.34
1667,347036.62
1668,327315.34
1669,302802.66
1670,344981.38
1671,253451.77
1672,468810.88
1673,306202.97
1674,263825.44
1675,197772.3
1676,197192.72
1677,213022.84
1678,452271.47
1679,396356.28
1680,324924.47
1681,254237.62
1682,313125.03
1683,201419.88
1684,174201.03
1685,176096.86
1686,174823.62
1687,167955.83
1688,189344.4
1689,191876.84
1690,184202.19
1691,174453.05
1692,264454.16
1693,170373.39
1694,182039.58
1695,169493.5
1696,259269.45
1697,169667.38
1698,338794.03
1699,332404.2
1700,248140.67
1701,274754.75
1702,257013.47
